Start_Lat,Start_Lng
33.766376,-84.527321
33.786896,-84.493134
33.697849,-84.418266
33.696915,-84.404984
33.796211,-84.393692
33.791683,-84.391472
33.751411,-84.390968
33.781532,-84.390869
33.77129,-84.390472
33.744976,-84.390343
33.839458,-84.36927
33.821323,-84.367523
33.851852,-84.361008
33.821548,-84.359383
33.745556,-84.349213
33.917973,-84.338135
33.697849,-84.418266
33.741447,-84.417572
33.741333,-84.414047
33.766376,-84.527321
33.7756,-84.422287
33.757103,-84.468964
33.769001,-84.390511
33.773834,-84.369759
33.760628,-84.379715
33.681126,-84.398689
33.754379,-84.3787
33.982327,-84.341644
33.74424,-84.387733
33.781254,-84.407486
33.823555,-84.448212
33.805141,-84.413338
33.739838,-84.328239
33.754696,-84.407867
33.7854,-84.37838
33.722115,-84.394592
33.816216,-84.39035
33.808823,-84.399216
33.802216,-84.48571
33.864307,-84.479675
33.982327,-84.341644
33.842838,-84.362961
33.754311,-84.389763
33.851906,-84.369965
33.762119,-84.381516
33.791626,-84.391701
33.758179,-84.34922
33.911575,-84.357521
33.917973,-84.338135
33.754379,-84.3787
33.884594,-84.469887
33.884377,-84.250778
33.931988,-84.357719
33.585121,-84.51313
33.884594,-84.469887
33.881222,-84.453125
33.744976,-84.390343
33.619968,-84.4869
33.63892,-84.401093
33.74649,-84.430565
33.616844,-84.438622
33.619968,-84.4869
33.618126,-84.48774
33.864307,-84.479675
33.696915,-84.404984
33.784256,-84.378899
33.750488,-84.44416
33.696011,-84.486267
33.913116,-84.286316
33.771278,-84.38343
33.902916,-84.274139
33.837536,-84.368294
33.724018,-84.349449
33.885494,-84.251686
33.722115,-84.394592
33.7369,-84.391853
33.7369,-84.391853
33.7369,-84.391853
33.982327,-84.341644
33.744976,-84.390343
33.933468,-84.357735
33.912338,-84.379128
33.884594,-84.469887
33.831097,-84.426346
33.89185,-84.259369
33.754147,-84.378761
33.757103,-84.468964
33.855816,-84.382645
33.645809,-84.398575
33.748371,-84.385223
33.786976,-84.390915
33.771191,-84.371773
33.81385,-84.468491
33.803047,-84.407753
33.797096,-84.368988
33.781494,-84.38781
33.719879,-84.488106
33.837536,-84.368294
33.840199,-84.379501
33.854336,-84.382645
33.821323,-84.367523
33.69014,-84.506256
33.804775,-84.393608
33.852024,-84.369621
33.902916,-84.274139
33.759472,-84.378876
33.885494,-84.251686
33.742832,-84.403595
33.744976,-84.390343
33.690125,-84.500153
33.665138,-84.418549
33.892895,-84.260452
33.690125,-84.500153
33.681328,-84.411522
33.617954,-84.484985
33.745052,-84.389732
33.745556,-84.349213
33.885162,-84.251266
33.656929,-84.497757
33.619576,-84.460335
33.743549,-84.332092
33.89106,-84.459381
33.831833,-84.426376
33.753635,-84.495628
33.699425,-84.457336
33.823265,-84.355835
33.744976,-84.390343
33.683865,-84.310005
33.852024,-84.369621
33.683865,-84.310005
33.846313,-84.368347
33.773819,-84.359955
33.750694,-84.446144
33.742722,-84.40332
33.77092,-84.390503
33.892677,-84.26017
33.754379,-84.3787
33.759472,-84.378876
33.890293,-84.460991
33.874134,-84.249619
33.745556,-84.349213
33.744976,-84.390343
33.681328,-84.411522
33.690125,-84.500153
33.695187,-84.404877
33.911575,-84.357521
33.744976,-84.390343
33.821548,-84.359383
33.584824,-84.513527
33.656479,-84.497551
33.629498,-84.455986
33.744976,-84.390343
33.803047,-84.407753
33.796211,-84.393692
33.757103,-84.468964
33.744976,-84.390343
33.751446,-84.446114
33.681293,-84.407715
33.908504,-84.429779
33.791622,-84.391998
33.916046,-84.406662
33.649498,-84.39698
33.796211,-84.393692
33.771286,-84.390045
33.821548,-84.359383
